uhslc_id,latitude,longitude,station_name,station_country,station_country_code,gloss_id,station_country_alpha3,hdi
372,7.083,125.633,Davao,Philippines (the),608,71,PHL,0.714
373,6.067,121.0,Jolo,Philippines (the),608,70,PHL,0.714
375,40.533,141.533,Hachinohe,Japan,392,-1,JPN,0.921
376,24.45,118.067,Xiamen,China,156,247,CHN,0.796
379,10.3,123.917,Cebu,Philippines (the),608,-1,PHL,0.714
380,9.75,118.733,Puerto Princesa,Philippines (the),608,-1,PHL,0.714
381,13.767,109.25,Qui Nhon,Viet Nam,704,75,VNM,0.764
382,14.765,120.252,Subic Bay,Philippines (the),608,-1,PHL,0.714
383,10.34,107.072,Vung Tau,Viet Nam,704,-1,VNM,0.764
385,4.233,117.883,Tawau,Malaysia,458,-1,MYS,0.81
386,5.983,116.067,Kota Kinabalu,Malaysia,458,-1,MYS,0.81
387,3.217,113.067,Bintulu,Malaysia,458,-1,MYS,0.81
388,4.392,113.972,Miri,Malaysia,458,-1,MYS,0.81
389,5.81,118.067,Sandakan,Malaysia,458,-1,MYS,0.81
391,10.28,250.778,Clipperton,France,250,165,FRA,0.916
392,5.557,272.952,Cocos Island,Costa Rica,188,-1,CRI,0.823
393,20.615,254.755,Vallarta,Mexico,484,-1,MEX,0.783
394,16.16,264.797,Salina Cruz,Mexico,484,-1,MEX,0.783
395,19.05,255.667,Manzanillo,Mexico,484,163,MEX,0.783
396,9.967,275.167,Puntarenas,Costa Rica,188,-1,CRI,0.823
397,27.933,249.1,Guaymas,Mexico,484,-1,MEX,0.783
398,-35.833,174.5,Marsden Point,New Zealand,554,-1,NZL,0.933
399,-31.517,159.067,Lord Howe,Australia,36,148,AUS,0.952
400,-2.037,147.375,"Lombrum, Manus Is.",Papua New Guinea,598,331,PNG,0.572
401,-13.817,188.25,Apia,Samoa,882,-1,WSM,0.703
402,-17.605,177.438,Lautoka,Fiji,242,-1,FJI,0.726
403,-43.983,168.617,Jackson,New Zealand,554,-1,NZL,0.933
404,-14.272,189.427,Auasi,American Samoa,16,-1,ASM,0.93
405,18.643,285.89,Jeremie,Haiti,332,-1,HTI,0.552
406,18.228,286.382,St. Louis du Sud,Haiti,332,-1,HTI,0.552
407,-14.283,189.438,Aunuu,American Samoa,16,-1,ASM,0.93
408,-14.24,190.49,Tau,American Samoa,16,-1,ASM,0.93
409,-14.163,190.318,Ofu,American Samoa,16,-1,ASM,0.93
410,2.1,117.75,Lungsurannaga,Indonesia,360,-1,IDN,0.726
411,-1.267,116.8,Balikpapan,Indonesia,360,-1,IDN,0.726
414,-0.683,117.417,Bajor,Indonesia,360,-1,IDN,0.726
416,-6.483,105.667,Tanjung Lesung,Indonesia,360,-1,IDN,0.726
417,-8.5,110.783,Sadeng,Indonesia,360,-1,IDN,0.726
418,-9.4,119.233,Waikelo,Indonesia,360,346,IDN,0.726
419,-8.732,116.072,Lembar,Indonesia,360,-1,IDN,0.726
420,-7.982,131.29,Saumlaki,Indonesia,360,-1,IDN,0.726
421,21.287,202.158,Alawai,United States of America (the),840,-1,USA,0.93
422,21.593,201.895,Haleiwa,United States of America (the),840,-1,USA,0.93
423,21.443,202.19,Heeia,United States of America (the),840,-1,USA,0.93
424,21.317,202.108,Keehi,United States of America (the),840,-1,USA,0.93
425,21.45,201.803,Waianae,United States of America (the),840,-1,USA,0.93
428,21.082,202.972,"Kaunakakai, Hawaii",United States of America (the),840,-1,USA,0.93
429,20.742,203.112,Manele Bay,United States of America (the),840,-1,USA,0.93
430,19.668,203.977,Honokohau,United States of America (the),840,-1,USA,0.93
431,19.185,204.093,Milolii,United States of America (the),840,-1,USA,0.93
432,22.21,200.502,"Hanalei, HI",United States of America (the),840,-1,USA,0.93
433,21.902,200.41,Port Allen,United States of America (the),840,-1,USA,0.93
434,21.367,202.037,Pearl Harbor,United States of America (the),840,-1,USA,0.93
453,-14.292,181.843,"Leava, Futuna Island",France,250,353,FRA,0.916
454,-16.598,216.338,Makemo,French Polynesia,258,354,PYF,0.916
455,-14.945,212.293,Rangiroa Atoll,France,250,355,FRA,0.916
456,-23.342,210.525,Tubuai,France,250,356,FRA,0.916
540,54.317,229.667,Prince Rupert,Canada,124,155,CAN,0.935
